2026-04-12 20:21:30 - ============================================================
2026-04-12 20:21:30 - [*] 实验: ContextGraph + GATv2 + 静态 Compatibility 建模 + Set Decoder
2026-04-12 20:21:30 - [*] 数据集: christianity
2026-04-12 20:21:30 - [*] 设备: cuda
2026-04-12 20:21:30 - [*] Recall@K: (5, 15, 25)
2026-04-12 20:21:30 - [*] Eval Scope: maxcc
2026-04-12 20:21:30 - [*] Warmup Epochs: 100
2026-04-12 20:21:30 - ============================================================
2026-04-12 20:22:15 - [*] 样本构建完成: kept=546, skipped_empty=0, skipped_no_source_in_maxcc=4
2026-04-12 20:22:15 - [*] 数据划分: train=382, val=82, test=82
2026-04-12 20:22:15 - [*] 预计算 AED 懒加载最短路查询器...
2026-04-12 20:27:20 - Epoch 039 | loss=0.2675 | val_score=0.6721 | f1=0.5150 | map=0.6153 | p@k=0.5058 | aed=1.0448 | count_mae=1.4390
2026-04-12 20:27:27 - Epoch 040 | loss=0.2632 | val_score=0.6915 | f1=0.5350 | map=0.6286 | p@k=0.5292 | aed=0.9404 | count_mae=1.5488
2026-04-12 20:27:38 - Epoch 041 | loss=0.2583 | val_score=0.6830 | f1=0.5363 | map=0.6160 | p@k=0.5220 | aed=0.9740 | count_mae=1.5122
2026-04-12 20:27:46 - Epoch 042 | loss=0.2637 | val_score=0.6699 | f1=0.4965 | map=0.6150 | p@k=0.5156 | aed=0.9854 | count_mae=1.6585
2026-04-12 20:27:54 - Epoch 043 | loss=0.2661 | val_score=0.6838 | f1=0.5250 | map=0.6278 | p@k=0.5160 | aed=0.9199 | count_mae=1.4512
2026-04-12 20:28:00 - Epoch 044 | loss=0.2632 | val_score=0.6608 | f1=0.5029 | map=0.6041 | p@k=0.5006 | aed=0.9953 | count_mae=1.6707
2026-04-12 20:28:10 - Epoch 045 | loss=0.2603 | val_score=0.6753 | f1=0.5093 | map=0.6212 | p@k=0.5119 | aed=0.9968 | count_mae=1.5610
2026-04-12 20:28:18 - Epoch 046 | loss=0.2605 | val_score=0.6625 | f1=0.5173 | map=0.6035 | p@k=0.4908 | aed=1.0116 | count_mae=1.5122
2026-04-12 20:28:27 - Epoch 047 | loss=0.2618 | val_score=0.6824 | f1=0.5132 | map=0.6202 | p@k=0.5107 | aed=0.9979 | count_mae=1.3415
2026-04-12 20:28:34 - Epoch 048 | loss=0.2610 | val_score=0.6768 | f1=0.5137 | map=0.6177 | p@k=0.5118 | aed=0.8974 | count_mae=1.4390
2026-04-12 20:28:42 - Epoch 049 | loss=0.2619 | val_score=0.6967 | f1=0.5254 | map=0.6325 | p@k=0.5292 | aed=0.9473 | count_mae=1.3049
2026-04-12 20:28:50 - Epoch 050 | loss=0.2604 | val_score=0.6670 | f1=0.5048 | map=0.6101 | p@k=0.4921 | aed=0.9982 | count_mae=1.3415
2026-04-12 20:28:58 - Epoch 051 | loss=0.2647 | val_score=0.6903 | f1=0.5143 | map=0.6294 | p@k=0.5273 | aed=0.9511 | count_mae=1.3171
2026-04-12 20:29:07 - Epoch 052 | loss=0.2592 | val_score=0.6961 | f1=0.5202 | map=0.6356 | p@k=0.5326 | aed=0.9688 | count_mae=1.2439
2026-04-12 20:29:16 - Epoch 053 | loss=0.2601 | val_score=0.7037 | f1=0.5399 | map=0.6411 | p@k=0.5440 | aed=1.0002 | count_mae=1.2805
2026-04-12 20:29:24 - Epoch 054 | loss=0.2574 | val_score=0.6763 | f1=0.5101 | map=0.6168 | p@k=0.5137 | aed=0.9137 | count_mae=1.3171
